Date,coin,avg_sentiment
2025-04-08,$1,-0.2732
2025-04-08,BTC,0.006992307692307704
2025-04-08,BUIDL,0.1779
2025-04-08,ETH,0.0
2025-04-08,RLUSD,-0.4019
2025-04-08,S,-0.0747
2025-04-08,SOL,0.0
2025-04-08,USDT,0.028450000000000003
2025-04-08,XRP,-0.33652499999999996
2025-04-08,ZK,0.0
