Date,Close,High,Low,Open,Volume,coin
,AVAX-USD,AVAX-USD,AVAX-USD,AVAX-USD,AVAX-USD,
2023-01-01,10.865915298461914,10.929947853088379,10.670733451843262,10.90373420715332,95741904,avalanche-2
2023-01-02,11.15361499786377,11.23122787475586,10.743950843811035,10.866033554077148,128530323,avalanche-2
2023-01-03,11.38444995880127,11.52815055847168,11.087236404418945,11.15368366241455,165410541,avalanche-2
2023-01-04,12.07761287689209,12.270716667175293,11.363713264465332,11.383941650390625,203700017,avalanche-2
2023-01-05,11.740196228027344,12.14906120300293,11.718555450439453,12.077432632446289,148011463,avalanche-2
2023-01-06,11.781206130981445,11.803510665893555,11.38878059387207,11.742313385009766,135298028,avalanche-2
2023-01-07,11.743424415588379,11.854203224182129,11.666064262390137,11.781932830810547,99819319,avalanche-2
2023-01-08,12.072585105895996,12.128076553344727,11.609659194946289,11.741462707519531,133385894,avalanche-2
2023-01-09,12.209636688232422,12.631736755371094,12.069567680358887,12.069567680358887,331158364,avalanche-2
2023-01-10,12.731241226196289,12.869482040405273,12.089607238769531,12.207080841064453,230945289,avalanche-2
2023-01-11,15.913924217224121,15.913924217224121,12.316078186035156,12.729662895202637,815639199,avalanche-2
2023-01-12,15.45734977722168,16.10527229309082,14.886008262634277,15.849684715270996,821227059,avalanche-2
2023-01-13,15.962223052978516,16.4328556060791,15.047157287597656,15.45751667022705,594284894,avalanche-2
2023-01-14,16.958057403564453,18.337526321411133,15.944210052490234,15.961251258850098,1069929455,avalanche-2
2023-01-15,16.797117233276367,17.043317794799805,16.05112648010254,16.959484100341797,514796096,avalanche-2
2023-01-16,16.740787506103516,17.275224685668945,16.220399856567383,16.79619789123535,455814602,avalanche-2
2023-01-17,17.1265926361084,18.136295318603516,16.669139862060547,16.742637634277344,549733348,avalanche-2
2023-01-18,15.804330825805664,17.383407592773438,15.774803161621094,17.129079818725586,466860281,avalanche-2
2023-01-19,16.196353912353516,16.256357192993164,15.750173568725586,15.809412002563477,275014984,avalanche-2
2023-01-20,17.52127456665039,17.528125762939453,15.902365684509277,16.19332504272461,377589626,avalanche-2
2023-01-21,16.896469116210938,17.73019790649414,16.887035369873047,17.522947311401367,451849941,avalanche-2
2023-01-22,17.362272262573242,18.365903854370117,16.877227783203125,16.891254425048828,528180733,avalanche-2
2023-01-23,18.0065860748291,18.28485870361328,17.34971046447754,17.362207412719727,447269431,avalanche-2
2023-01-24,17.01931381225586,18.856185913085938,16.935819625854492,17.995372772216797,483621029,avalanche-2
2023-01-25,17.803890228271484,18.215179443359375,16.603015899658203,17.0212345123291,373780820,avalanche-2
2023-01-26,18.108034133911133,18.715797424316406,17.79720687866211,17.79720687866211,485573315,avalanche-2
2023-01-27,21.25410270690918,21.551227569580078,17.626211166381836,18.1074161529541,680858655,avalanche-2
2023-01-28,20.60495948791504,21.684043884277344,20.15287971496582,21.251615524291992,689054377,avalanche-2
2023-01-29,21.07977867126465,21.123519897460938,20.227642059326172,20.60445213317871,420146185,avalanche-2
2023-01-30,19.73917007446289,21.17930793762207,19.433820724487305,21.076677322387695,665345570,avalanche-2
2023-01-31,19.844499588012695,20.09893035888672,19.40431785583496,19.7375545501709,398085253,avalanche-2
2023-02-01,20.965364456176758,20.965364456176758,18.795307159423828,19.84294891357422,578705289,avalanche-2
2023-02-02,21.1800594329834,22.705150604248047,20.954572677612305,20.958087921142578,923881872,avalanche-2
2023-02-03,21.36518669128418,21.844970703125,20.878236770629883,21.173091888427734,449947551,avalanche-2
2023-02-04,21.024635314941406,21.61928367614746,20.99332046508789,21.362613677978516,270970237,avalanche-2
2023-02-05,20.108016967773438,21.118896484375,19.77849578857422,21.025434494018555,341651159,avalanche-2
2023-02-06,19.58503532409668,20.370624542236328,19.560394287109375,20.107219696044922,228201924,avalanche-2
2023-02-07,20.845218658447266,20.917795181274414,19.570659637451172,19.580888748168945,316667706,avalanche-2
2023-02-08,20.08147430419922,20.995512008666992,19.73801040649414,20.844480514526367,257585287,avalanche-2
2023-02-09,17.874452590942383,20.20979118347168,17.66394805908203,20.085739135742188,387714367,avalanche-2
2023-02-10,17.79853057861328,18.22443389892578,17.62877082824707,17.87581443786621,232811782,avalanche-2
2023-02-11,18.029085159301758,18.073793411254883,17.703311920166016,17.802188873291016,134054933,avalanche-2
2023-02-12,17.76869773864746,18.466371536254883,17.615549087524414,18.027767181396484,259289328,avalanche-2
2023-02-13,17.6209716796875,17.84229278564453,16.933635711669922,17.770370483398438,245266831,avalanche-2
2023-02-14,18.147031784057617,18.257169723510742,17.377979278564453,17.61852264404297,249864205,avalanche-2
2023-02-15,19.923646926879883,19.923646926879883,17.93962287902832,18.145700454711914,256514870,avalanche-2
2023-02-16,18.614831924438477,20.31131935119629,18.583778381347656,19.923826217651367,362001305,avalanche-2
2023-02-17,19.477388381958008,19.621904373168945,18.522083282470703,18.61043357849121,249597693,avalanche-2
2023-02-18,19.578697204589844,20.032611846923828,19.360095977783203,19.47702980041504,258172528,avalanche-2
2023-02-19,19.80207633972168,20.36556053161621,19.437061309814453,19.572031021118164,288113872,avalanche-2
2023-02-20,20.810766220092773,21.310453414916992,19.215484619140625,19.808090209960938,483461795,avalanche-2
2023-02-21,20.94013023376465,21.600173950195312,20.017404556274414,20.81546974182129,489974940,avalanche-2
2023-02-22,20.314476013183594,21.45758056640625,19.64725112915039,20.942157745361328,605541357,avalanche-2
2023-02-23,19.702638626098633,20.695337295532227,19.5836238861084,20.31671905517578,309191497,avalanche-2
2023-02-24,18.36859893798828,19.805137634277344,18.14151382446289,19.701887130737305,298510977,avalanche-2
2023-02-25,17.95964241027832,18.55936050415039,17.542898178100586,18.373031616210938,242999790,avalanche-2
2023-02-26,18.44385528564453,18.555042266845703,17.850767135620117,17.95693016052246,151162317,avalanche-2
2023-02-27,17.939739227294922,18.618318557739258,17.789108276367188,18.44245147705078,198821795,avalanche-2
2023-02-28,17.081113815307617,17.938501358032227,17.000381469726562,17.938501358032227,200107205,avalanche-2
2023-03-01,17.761022567749023,17.79535484313965,17.033552169799805,17.08233642578125,159270741,avalanche-2
2023-03-02,17.447031021118164,17.83243179321289,17.16027069091797,17.761550903320312,132504184,avalanche-2
2023-03-03,16.654382705688477,17.468854904174805,15.944987297058105,17.447799682617188,205495359,avalanche-2
2023-03-04,16.11780548095703,16.872081756591797,15.818962097167969,16.65411949157715,122435703,avalanche-2
2023-03-05,16.159337997436523,16.50018310546875,16.08805274963379,16.1220760345459,108593997,avalanche-2
2023-03-06,16.52437973022461,16.58368492126465,15.860719680786133,16.156301498413086,162196354,avalanche-2
2023-03-07,16.169782638549805,16.698427200317383,15.91472339630127,16.52454376220703,161466099,avalanche-2
2023-03-08,15.134352684020996,16.235193252563477,15.086821556091309,16.16967010498047,168121578,avalanche-2
2023-03-09,14.403960227966309,15.66695499420166,14.258267402648926,15.135318756103516,223903610,avalanche-2
2023-03-10,14.829690933227539,15.08689022064209,13.941650390625,14.407492637634277,295964794,avalanche-2
2023-03-11,14.638959884643555,15.178179740905762,14.103416442871094,14.828900337219238,242350091,avalanche-2
2023-03-12,16.256580352783203,16.305145263671875,14.363444328308105,14.635699272155762,247416383,avalanche-2
2023-03-13,16.500085830688477,16.7929744720459,15.563715934753418,16.259267807006836,326292018,avalanche-2
2023-03-14,17.180816650390625,17.89102554321289,16.2111759185791,16.500621795654297,425237957,avalanche-2
2023-03-15,15.585168838500977,17.476064682006836,15.448031425476074,17.18476104736328,314371131,avalanche-2
2023-03-16,15.87647819519043,16.066478729248047,15.379693031311035,15.590289115905762,199893661,avalanche-2
2023-03-17,17.64643669128418,17.72435760498047,15.70724105834961,15.878774642944336,249635546,avalanche-2
2023-03-18,16.987367630004883,18.179182052612305,16.948850631713867,17.647384643554688,260105946,avalanche-2
2023-03-19,17.563106536865234,18.09745216369629,16.989490509033203,16.989490509033203,188260913,avalanche-2
2023-03-20,16.64081382751465,17.795822143554688,16.61823844909668,17.563905715942383,226183876,avalanche-2
2023-03-21,17.4854679107666,17.528169631958008,16.425477981567383,16.647287368774414,201360715,avalanche-2
2023-03-22,16.77981185913086,17.924171447753906,16.38042449951172,17.483421325683594,309254853,avalanche-2
2023-03-23,17.562936782836914,17.833919525146484,16.654478073120117,16.776945114135742,225499693,avalanche-2
2023-03-24,16.986759185791016,17.636964797973633,16.758556365966797,17.563884735107422,165076426,avalanche-2
2023-03-25,16.880115509033203,17.151586532592773,16.433589935302734,16.98478889465332,160302358,avalanche-2
2023-03-26,17.13402557373047,17.282085418701172,16.881956100463867,16.881956100463867,120192188,avalanche-2
2023-03-27,16.503171920776367,17.150596618652344,16.14993667602539,17.133577346801758,155993864,avalanche-2
2023-03-28,16.726268768310547,16.798385620117188,16.350547790527344,16.503551483154297,157163428,avalanche-2
2023-03-29,17.2939395904541,17.391202926635742,16.68571662902832,16.726146697998047,173033738,avalanche-2
2023-03-30,17.245332717895508,17.52766227722168,17.056400299072266,17.299463272094727,201197047,avalanche-2
2023-03-31,17.716890335083008,17.827316284179688,17.123004913330078,17.247215270996094,188033602,avalanche-2
2023-04-01,17.662683486938477,17.877634048461914,17.573810577392578,17.71441650390625,111851369,avalanche-2
2023-04-02,17.263288497924805,17.838180541992188,17.12401580810547,17.79855728149414,122730984,avalanche-2
2023-04-03,17.101024627685547,17.422077178955078,16.735944747924805,17.26184844970703,183483019,avalanche-2
2023-04-04,17.64712142944336,17.648984909057617,16.994564056396484,17.101242065429688,143457849,avalanche-2
2023-04-05,17.989526748657227,18.312583923339844,17.6358585357666,17.647354125976562,221196176,avalanche-2
2023-04-06,18.001949310302734,18.31281089782715,17.70067024230957,17.990446090698242,175964595,avalanche-2
2023-04-07,17.624462127685547,18.122793197631836,17.539928436279297,18.000171661376953,128153713,avalanche-2
2023-04-08,17.464860916137695,17.740571975708008,17.407833099365234,17.621835708618164,87844490,avalanche-2
2023-04-09,17.560928344726562,17.636962890625,17.281646728515625,17.465778350830078,92348601,avalanche-2
2023-04-10,17.932527542114258,17.960126876831055,17.413124084472656,17.560331344604492,125916354,avalanche-2
2023-04-11,18.16439437866211,18.564979553222656,17.904096603393555,17.934492111206055,176916860,avalanche-2
2023-04-12,18.491119384765625,18.69649887084961,17.73080825805664,18.1640625,310077628,avalanche-2
2023-04-13,18.85436248779297,19.011821746826172,18.154972076416016,18.25657081604004,250901057,avalanche-2
2023-04-14,19.248788833618164,19.30904769897461,18.51934814453125,18.85417366027832,256976337,avalanche-2
2023-04-15,19.107620239257812,19.508121490478516,19.030517578125,19.248149871826172,186898140,avalanche-2
2023-04-16,20.20197868347168,20.46013641357422,18.935701370239258,19.107135772705078,272546344,avalanche-2
2023-04-17,20.514562606811523,21.093420028686523,20.028791427612305,20.201345443725586,504173915,avalanche-2
2023-04-18,21.227848052978516,21.52521324157715,20.380550384521484,20.51787757873535,289785299,avalanche-2
2023-04-19,18.993925094604492,21.22297477722168,18.7923526763916,21.22297477722168,375670294,avalanche-2
2023-04-20,18.332067489624023,19.401334762573242,18.29507827758789,18.990333557128906,294882989,avalanche-2
2023-04-21,16.953628540039062,18.49474334716797,16.810550689697266,18.332883834838867,312839997,avalanche-2
2023-04-22,17.23383903503418,17.3404483795166,16.85211181640625,16.95215606689453,141967935,avalanche-2
2023-04-23,16.86546516418457,17.24839973449707,16.592947006225586,17.234935760498047,135279687,avalanche-2
2023-04-24,16.939165115356445,17.220006942749023,16.59712028503418,16.86475372314453,162414862,avalanche-2
2023-04-25,17.64320945739746,17.73865509033203,16.805578231811523,16.937700271606445,201291903,avalanche-2
2023-04-26,17.189762115478516,18.196632385253906,16.4422664642334,17.64189910888672,301564451,avalanche-2
2023-04-27,17.724498748779297,17.89904022216797,17.14951515197754,17.19050407409668,204597089,avalanche-2
2023-04-28,17.56381607055664,17.807231903076172,17.306236267089844,17.724470138549805,127740732,avalanche-2
2023-04-29,17.48208236694336,17.718311309814453,17.409038543701172,17.562843322753906,98790066,avalanche-2
2023-04-30,17.166259765625,17.809911727905273,17.149097442626953,17.483182907104492,117908615,avalanche-2
2023-05-01,16.65838050842285,17.21229362487793,16.537229537963867,17.162769317626953,136356603,avalanche-2
2023-05-02,16.854707717895508,16.966835021972656,16.527618408203125,16.658727645874023,109496323,avalanche-2
2023-05-03,17.222131729125977,17.314401626586914,16.440670013427734,16.85454750061035,162088946,avalanche-2
2023-05-04,16.91795539855957,17.252674102783203,16.83331871032715,17.2237548828125,113190608,avalanche-2
2023-05-05,17.38660430908203,17.41295051574707,16.896852493286133,16.92181396484375,171744723,avalanche-2
2023-05-06,16.63551902770996,17.482257843017578,16.502220153808594,17.38744354248047,133852669,avalanche-2
2023-05-07,16.447729110717773,16.737930297851562,16.440841674804688,16.635347366333008,95305315,avalanche-2
2023-05-08,15.423477172851562,16.50736427307129,15.07004165649414,16.44506072998047,244045721,avalanche-2
2023-05-09,15.335582733154297,15.57580852508545,15.256746292114258,15.42355728149414,116223244,avalanche-2
2023-05-10,15.53670883178711,15.70870304107666,14.908783912658691,15.336101531982422,226449891,avalanche-2
2023-05-11,14.973287582397461,15.537684440612793,14.855993270874023,15.537389755249023,142436558,avalanche-2
2023-05-12,15.192852973937988,15.200723648071289,14.67658805847168,14.973711013793945,152580777,avalanche-2
2023-05-13,14.942066192626953,15.201868057250977,14.934647560119629,15.194025993347168,76672620,avalanche-2
2023-05-14,15.03024959564209,15.142487525939941,14.855501174926758,14.941278457641602,81176240,avalanche-2
2023-05-15,15.093147277832031,15.343143463134766,14.863529205322266,15.029603958129883,130822729,avalanche-2
2023-05-16,14.903059005737305,15.142037391662598,14.770429611206055,15.093754768371582,115280580,avalanche-2
2023-05-17,15.164073944091797,15.284197807312012,14.692970275878906,14.902388572692871,130832786,avalanche-2
2023-05-18,14.70057201385498,15.173441886901855,14.494279861450195,15.163835525512695,131860692,avalanche-2
2023-05-19,14.67898941040039,14.80501937866211,14.596892356872559,14.701531410217285,96148692,avalanche-2
2023-05-20,14.636693954467773,14.699698448181152,14.556021690368652,14.678878784179688,69935200,avalanche-2
2023-05-21,14.313434600830078,14.687588691711426,14.251659393310547,14.635772705078125,84412582,avalanche-2
2023-05-22,14.680551528930664,14.753812789916992,14.14851188659668,14.312813758850098,125232952,avalanche-2
2023-05-23,14.711454391479492,14.946106910705566,14.625208854675293,14.680412292480469,105989745,avalanche-2
2023-05-24,14.147786140441895,14.712035179138184,14.027911186218262,14.711894035339355,131193367,avalanche-2
2023-05-25,14.095544815063477,14.246715545654297,13.833481788635254,14.14716911315918,128871426,avalanche-2
